ID,logFC,P.Value
gene_8046,-0.4623797078,0.0744456098
gene_4718,0.2456763182,0.0734924035
gene_4633,-0.344686118,0.0696415139
gene_907,0.4167776202,0.0703064598
gene_705,0.6868122575,0.0695370512
gene_454,0.5502310937,0.0496367536
gene_14702,-0.2278821002,0.0564891863
gene_282,0.4565908456,0.063017774
gene_8789,0.522853407,0.0749933543
gene_10998,0.6664656352,0.074406239
gene_2513,0.7726712099,0.0734625255
gene_9037,-0.0625558036,0.06351598
gene_3049,0.112874225,0.0735368192
gene_404,0.7082973306,0.0608134345
gene_12870,-1.0719724682,0.0516485458
gene_10873,0.0461060919,0.0744545367
gene_9146,0.572298522,0.0731375459
gene_9937,-0.1738168899,0.0504689951
gene_13547,0.7180288827,0.0617648442
gene_2053,0.6346507145,0.0704796531
gene_479,0.3802452122,0.0756610144
gene_13895,-0.1542036089,0.0738599302
gene_13917,-1.0440745817,0.050451231
gene_5552,0.5036929538,0.0757003702
gene_11470,0.6981536586,0.0753194616
gene_2653,-0.1007550954,0.0637670414
gene_16726,-0.2641663361,0.0648725627
gene_7391,-0.0088790284,0.0557070936
gene_15773,-0.4088734826,0.0628963541
gene_5341,-0.3248592045,0.0765196244
gene_17496,-0.2764223534,0.0575205986
gene_456,0.9492084415,0.0574394564
gene_5463,-0.3180699522,0.0770773459
gene_697,0.3595082392,0.0771589726
gene_7274,-0.2120365315,0.0757431064
gene_12454,0.1028195637,0.0657462546
gene_3094,-0.1733354609,0.0658461073
gene_17134,0.3746303656,0.0651255635
gene_997,-0.5737147906,0.0386135008
gene_16937,0.1713434962,0.0663370918
gene_6564,0.7038287849,0.027767881
gene_5241,0.7772889596,0.0192740437
gene_3169,-0.1132466021,0.0751510186
gene_15540,-0.4095090852,0.0740810478
gene_8466,0.698362196,0.0491527322
gene_6203,0.8149828876,0.0484099452
gene_17629,0.0865907447,0.0781722073
gene_16915,-0.2527297774,0.0529048066
gene_918,0.4966933588,0.0563626517
gene_2572,0.3433340304,0.07736063
gene_4206,0.3901902972,0.0768499715
gene_12557,-0.0515485038,0.0796773242
gene_6694,0.9379836087,0.0551372971
gene_6491,-0.254149805,0.0306338633
gene_10063,-0.1056162335,0.0481241142
gene_243,0.2260102495,0.0790895279
gene_6378,0.5382111082,0.0797961266
gene_9778,2.0343716361,0.0202933541
gene_122,0.654558165,0.0755411207
gene_2400,0.7370117533,0.0316796548
gene_5759,0.370847236,0.0717234941
gene_9599,-0.5504060022,0.0337913028
gene_7159,0.5768553012,0.0674114319
gene_15426,0.831487069,0.0619446125
gene_1930,-0.1155668479,0.0384528799
gene_15762,-0.0860819875,0.0762866593
gene_9785,0.8369538323,0.0796172132
gene_17622,0.2690401061,0.0762662204
gene_3321,0.4454869779,0.0795896822
gene_11497,0.3794180639,0.0752460412
gene_8732,-0.1845568464,0.0786772116
gene_1156,0.9334919716,0.0764586014
gene_8480,0.8028084836,0.059734001
gene_6537,-1.1917098736,0.0434729998
gene_15812,0.5026872622,0.0534818259
gene_3398,0.0200096592,0.078909271
gene_15532,-0.3967739632,0.0808780761
gene_9477,-0.3647060893,0.038212641
gene_15276,0.7238059392,0.0793359676
gene_1539,-0.1376144471,0.0819791637
gene_6206,0.5987079147,0.0676566031
gene_4443,0.1154925033,0.0634861357
gene_13345,0.4674962572,0.0637499959
gene_8493,0.3638397148,0.073347697
gene_4455,0.919197971,0.0389710201
gene_5830,-0.113229142,0.0657483011
gene_11534,-0.1943158991,0.0680505307
gene_14398,-0.2542187043,0.0753894585
gene_16012,-0.097461915,0.0828283104
gene_872,-1.0411343697,0.0753445761
gene_13391,-0.4037047359,0.0258639474
gene_442,0.6524368018,0.0692133128
gene_1194,0.7809929402,0.0824697036
gene_5504,0.5362692837,0.0721416795
gene_2742,-0.1799060624,0.0732466232
gene_1077,0.6316336931,0.0610217112
gene_14611,-0.5916359708,0.0796957966
gene_5613,0.5305808057,0.0808265748
gene_1365,0.4198234637,0.0670800098
gene_9466,0.8057516918,0.07039752
gene_6465,0.4901842302,0.0835559259
gene_8596,-0.2038712567,0.078110464
gene_10149,0.2319452048,0.0841522141
gene_16035,0.5587135294,0.0796569257
gene_7407,0.524843233,0.0826465089
gene_9976,0.7873683981,0.0599504429
gene_866,0.6573068905,0.0691983881
gene_8208,-0.2916572561,0.0103801747
gene_17337,0.0180200473,0.0763052692
gene_1749,-1.0755233235,0.0719950683
gene_11919,0.5862429669,0.0831048844
gene_8249,0.8696233464,0.0584265038
gene_16816,-0.2029000464,0.0831199114
gene_4012,0.8606520955,0.061882088
gene_8747,-0.2667953911,0.0624844914
gene_4960,0.6288146062,0.0813883803
gene_8197,-0.4206112119,0.0766259986
gene_7912,0.7005636842,0.0779213927
gene_16625,-0.0936003843,0.0802829987
gene_14437,0.5922095672,0.077204922
gene_17358,0.6527493125,0.0841962985
gene_16330,0.6587042289,0.0805085708
gene_16745,-0.1908236963,0.0850117688
gene_7812,-0.137220771,0.0865263493
gene_13464,0.4227865698,0.0861336298
gene_11247,0.7306310415,0.0601742372
gene_11942,-0.3231561526,0.0855560838
gene_4265,0.4842728658,0.0745387856
gene_7545,0.6949841617,0.0865384369
gene_15080,1.2056155777,0.0446138865
gene_27,0.9294342298,0.0590795558
gene_9805,0.8380980065,0.0678556685
gene_11598,-0.1537380666,0.0826608076
gene_5532,0.9077008527,0.0071208298
gene_10623,0.647739061,0.0327841392
gene_15010,0.5918017732,0.0690225274
gene_15583,0.497248469,0.0344585624
gene_11458,0.5729341863,0.0840359378
gene_17214,0.6182369006,0.0689552513
gene_16181,-0.0874319098,0.0886429746
gene_8353,0.8378661645,0.0880738856
gene_2769,1.0041100627,0.0798011585
gene_14732,0.604564609,0.0889698149
gene_12174,-0.5156736255,0.0139478586
gene_17627,0.8290773802,0.0872796048
gene_9167,0.0799040811,0.0884393216
gene_3555,-0.4265732914,0.0785851275
gene_15974,-0.6967793795,0.0750129896
gene_3288,1.4215520794,0.0063407715
gene_11885,0.1379873115,0.0879714115
gene_10911,1.1587900611,0.015091964
gene_12926,0.9033967678,0.0414531785
gene_14543,0.4321982679,0.0708088798
gene_12952,-0.0413157241,0.086359053
gene_6182,0.5226866352,0.089237613
gene_327,-0.1009662526,0.0878146931
gene_10777,0.0287408387,0.0849284965
gene_15825,0.802484249,0.0386147934
gene_15039,0.1687232845,0.0836812746
gene_11606,-0.2356132842,0.0639566622
gene_1307,-0.2876361181,0.0878142809
gene_6159,0.7556930253,0.0830902035
gene_13042,0.6112829619,0.0892920685
gene_1697,-0.384819124,0.0906670342
gene_6604,0.9827320131,0.0901897457
gene_3703,0.6790878894,0.0794633098
gene_16066,0.8312566335,0.0740465692
gene_493,0.8543241516,0.0900271045
gene_2243,0.8493240186,0.0875038566
gene_17114,0.3989951015,0.0886326305
gene_14317,-0.1504177563,0.0861820227
gene_13856,0.6652189499,0.0755921829
gene_9370,0.3118785307,0.0916995771
gene_9755,0.4892281299,0.0894238737
gene_12051,-0.7601042843,0.0754530655
gene_6601,-1.0044118178,0.0796057559
gene_10218,0.6094098366,0.0918364724
gene_12236,0.4156418613,0.0839472746
gene_8682,-0.1764501864,0.0904966986
gene_10006,0.3442242695,0.0859385787
gene_9074,0.4479967723,0.0925171876
gene_13107,1.1352007955,0.0433422682
gene_13043,0.7316511313,0.0880900425
gene_374,0.7611489509,0.0755075279
gene_8922,-0.1990767045,0.0748262529
gene_6791,0.7650118996,0.0897877649
gene_8177,-1.119665488,0.0656340418
gene_15612,-0.5234892852,0.0542935885
gene_12484,0.6003251285,0.0782305843
gene_17472,0.3581906615,0.0925757627
gene_12446,-0.2620126601,0.0796977603
gene_7035,0.639019145,0.0690946436
gene_10608,0.2016483061,0.0795816201
gene_3961,0.8178576795,0.0257888174
gene_10841,-0.2424484452,0.0886971192
gene_17631,-0.6608359304,0.0861614707
gene_5114,-0.9662910384,0.0832872516
gene_6715,-0.3815160061,0.0323005289
gene_8373,0.8945134354,0.0416234098
gene_1069,0.4164492081,0.0897000443
gene_14731,0.2322513387,0.0932814726
gene_16432,0.6890984525,0.0423791284
gene_11820,0.6160427444,0.0942419902
gene_9453,0.738250663,0.0914666186
gene_12302,0.8613726689,0.0739446106
gene_6171,-0.2730570639,0.0926510714
gene_2120,0.1338955011,0.0913423004
gene_17237,-1.2395962457,0.0484266226
gene_12424,-0.3178881901,0.0658174612
gene_10217,0.2771043538,0.0948127781
gene_4516,0.0019024496,0.0950695767
gene_7215,0.6129986229,0.0920344976
gene_17623,0.1881327732,0.0926144445
gene_16434,0.7316767091,0.0944935506
gene_13974,0.5319026221,0.0624394475
gene_13397,0.7626189986,0.0712916327
gene_10691,0.7640939809,0.0937335199
gene_1208,0.391925972,0.0820810163
gene_6066,-0.077953973,0.0893155839
gene_3530,0.9528638798,0.0403769046
gene_13707,0.4636820064,0.0447216625
gene_4106,1.0022547694,0.0286129524
gene_2367,0.7616159469,0.0788626925
